CONTOSO-DC1-TOR-01# show interface counters 

----------------------------------------------------------------------------------
Port                                     InOctets                      InUcastPkts
----------------------------------------------------------------------------------
mgmt0                                           0                                0

----------------------------------------------------------------------------------
Port                                     InOctets                      InUcastPkts
----------------------------------------------------------------------------------
Eth1/1                               205027653248                        650373664
Eth1/2                               144387970112                        277741204
Eth1/3                               480236991588                        950577170
Eth1/4                               639273319441                        750216954
Eth1/5                               170621906834                        365995326
Eth1/6                              1118111700750                       1309094722
Eth1/7                               153633787584                        373536966
Eth1/8                               120715368654                        262815334
Eth1/9                               251129380104                        400837641
Eth1/10                              239574368540                        353576851
Eth1/11                             1261026411798                       2550090125
Eth1/12                              627040877259                        767105189
Eth1/13                             1108661744290                       1317724589
Eth1/14                              170806813906                        455034627
Eth1/15                              681005598560                        864061550
Eth1/16                             1015046658127                       1085199333
Eth1/17                            14472182794111                      19798434602
Eth1/18                            22077788392468                      26090595384
Eth1/19                            15494848586455                      20373786162
Eth1/20                            15342514071685                      19862936763
Eth1/21                            89183498271266                      92695908705
Eth1/22                           105531433554343                     106369002817
Eth1/23                             8947047908909                      10906150680
Eth1/24                             8564055388470                      10551086231
Eth1/25                             6995645629654                      10177149264
Eth1/26                            10909249026059                      13250447875
Eth1/27                            63274598857175                      69641132545
Eth1/28                            24316600326389                      35515013691
Eth1/29                             5049641112717                       6489292847
Eth1/30                             5092208976783                       6592973503
Eth1/31                             8922800862359                      11911511493
Eth1/32                            13672428758240                      15917073159
Eth1/33                                         0                                0
Eth1/34                                         0                                0
Eth1/35                                         0                                0
Eth1/36                                         0                                0
Eth1/37                                         0                                0
Eth1/38                                         0                                0
Eth1/39                                         0                                0
Eth1/40                                         0                                0
Eth1/41                               64336315473                        841489287
Eth1/42                               61285480683                        806764989
Eth1/43                                      2452                                4
Eth1/44                             8697558077793                       7852877529
Eth1/45                                      2452                                4
Eth1/46                                      2452                                4
Eth1/47                             8260150501259                       7028822467
Eth1/48                             8627544578427                       7250579917
Eth1/49                             5232258086090                       4656731170
Eth1/50                             5216177438902                       4613297274
Eth1/51                             4541031188379                       3946337003
Eth1/52                                         0                                0
Eth1/53                                         0                                0
Eth1/54                                         0                                0

----------------------------------------------------------------------------------
Port                                     InOctets                      InUcastPkts
----------------------------------------------------------------------------------
Po50                                 125621796156                       1648254276
Po101                              14989466713371                      13216365447
Po102                               8697558077793                       7852877529

----------------------------------------------------------------------------------
Port                                     InOctets                      InUcastPkts
----------------------------------------------------------------------------------
Vlan1                                           0                                0
Vlan6                                           0                                0
Vlan7                                           0                                0
Vlan99                                          0                                0
Vlan125                                         0                                0
Vlan201                                         0                                0
Vlan301                                         0                                0
Vlan401                                         0                                0
Vlan501                                         0                                0
Vlan502                                         0                                0
Vlan503                                         0                                0
Vlan504                                         0                                0
Vlan505                                         0                                0
Vlan506                                         0                                0
Vlan507                                         0                                0
Vlan508                                         0                                0
Vlan509                                         0                                0
Vlan510                                         0                                0
Vlan511                                         0                                0
Vlan512                                         0                                0
Vlan513                                         0                                0
Vlan514                                         0                                0
Vlan515                                         0                                0
Vlan516                                         0                                0
Vlan711                                         0                                0
Vlan712                                         0                                0

----------------------------------------------------------------------------------
Port                                     InOctets                      InUcastPkts
----------------------------------------------------------------------------------
Tunnel1                                         0                                0

----------------------------------------------------------------------------------
Port                                  InMcastPkts                      InBcastPkts
----------------------------------------------------------------------------------
mgmt0                                           0                                0

----------------------------------------------------------------------------------
Port                                  InMcastPkts                      InBcastPkts
----------------------------------------------------------------------------------
Eth1/1                                    2262324                            68097
Eth1/2                                    1760550                           278890
Eth1/3                                    1694443                           665272
Eth1/4                                    1187579                           343626
Eth1/5                                    1277327                            66538
Eth1/6                                    1383664                          2914957
Eth1/7                                    1459839                            60173
Eth1/8                                    1253134                           139979
Eth1/9                                    1354436                            31635
Eth1/10                                   1259868                           174134
Eth1/11                                   3344737                           395015
Eth1/12                                   1228160                            48861
Eth1/13                                   1506839                           302381
Eth1/14                                   1373169                           557448
Eth1/15                                   2051832                          1272742
Eth1/16                                   1510073                          1281036
Eth1/17                                   1233127                           351902
Eth1/18                                   1112694                           461631
Eth1/19                                   1210511                           910696
Eth1/20                                   1100856                           794096
Eth1/21                                   1052597                           417930
Eth1/22                                    938320                           408473
Eth1/23                                   1091423                           450226
Eth1/24                                   1163000                           467842
Eth1/25                                    671400                           494721
Eth1/26                                    621149                           446362
Eth1/27                                   1831699                           546425
Eth1/28                                   1224919                           997985
Eth1/29                                    963320                           490562
Eth1/30                                    860415                           433368
Eth1/31                                   1159737                           743921
Eth1/32                                   1071711                           762847
Eth1/33                                         0                                0
Eth1/34                                         0                                0
Eth1/35                                         0                                0
Eth1/36                                         0                                0
Eth1/37                                         0                                0
Eth1/38                                         0                                0
Eth1/39                                         0                                0
Eth1/40                                         0                                0
Eth1/41                                    762600                               10
Eth1/42                                    762601                                0
Eth1/43                                         0                                0
Eth1/44                                  12768255                           358321
Eth1/45                                         0                                0
Eth1/46                                         0                                0
Eth1/47                                   1143844                                7
Eth1/48                                   1143810                                7
