"TimeGenerated [UTC]",name,"delta_pkts","delta_bytes","delta_multicasts","delta_unicasts"
"5/13/2025, 7:49:36.717 PM","Ethernet 1/1/47:1",152,9,11,141
"5/13/2025, 7:50:50.715 PM","Ethernet 1/1/47:1",221,9,6,215
"5/13/2025, 7:52:04.463 PM","Ethernet 1/1/47:1",155,7,10,145
"5/13/2025, 7:53:18.215 PM","Ethernet 1/1/47:1",198,2,7,191
"5/13/2025, 7:54:31.874 PM","Ethernet 1/1/47:1",203,7,11,192
"5/13/2025, 7:55:45.716 PM","Ethernet 1/1/47:1",136,0,7,129
"5/13/2025, 7:56:59.463 PM","Ethernet 1/1/47:1",253,8,9,244
"5/13/2025, 7:58:13.214 PM","Ethernet 1/1/47:1",193,5,7,186
"5/13/2025, 7:59:27.016 PM","Ethernet 1/1/47:1",115,11,6,109
"5/13/2025, 8:00:40.964 PM","Ethernet 1/1/47:1",152,8,10,142
"5/13/2025, 8:01:54.713 PM","Ethernet 1/1/47:1",109,7,7,102
